sq,batch,sk,kv_bytes,compact_physical_span,baseline_ms,schedule_only_ms,compact_ms,compact_vs_baseline,schedule_vs_baseline,compact_vs_schedule
4,64,2048,150994944,150994944,0.27246399223804474,0.2725600004196167,0.28089600801467896,0.9699817173044567,0.9996477539572052,0.9703235099210572
4,64,4096,301989888,301989888,0.5261119902133942,0.5255920141935349,0.546520009636879,0.9626582392892725,1.0009893149169269,0.9617068083980143
4,64,8192,603979776,603979776,1.038591980934143,1.0334399938583374,1.077951967716217,0.963486325958045,1.0049852793644756,0.9587069042118972
4,64,16384,1207959552,1207959552,2.0582879781723022,2.048640012741089,2.1352319717407227,0.9639645740665391,1.0047094488886334,0.9594461116423614
4,64,32768,2415919104,2415919104,4.101632118225098,4.079160094261169,4.258080005645752,0.9632585843353761,1.0055089830858914,0.957981082753881
4,64,65536,4831838208,4831838208,8.220992088317871,8.124399900436401,8.494351863861084,0.967818642325589,1.0118891473912162,0.9564472994109615
4,64,131072,9663676416,9663676416,16.418975830078125,16.30024766921997,16.950640201568604,0.9686345550865224,1.0072838255753838,0.9616302083806577
4,64,262144,19327352832,19327352832,32.97811985015869,32.57623863220215,33.905776023864746,0.9726401727819732,1.0123366366047943,0.960787289141331
4,64,524288,38654705664,38654705664,66.08169555664062,65.25266456604004,67.80757522583008,0.9745473914464352,1.012704936972521,0.9623211617392153
4,64,932032,68716855296,68716855296,119.41146278381348,116.44343185424805,120.43201446533203,0.9915259103980832,1.025489036885142,0.966881043808894
128,2,512,1179648,1179648,0.084927998483181,0.08852800354361534,0.0907839983701706,0.9354952415390229,0.9593348441585411,0.9751498626734145
128,2,1024,2359296,2359296,0.14044799655675888,0.14367999881505966,0.1488640010356903,0.9434651465741964,0.9775055520256448,0.965176253596813
128,2,2048,4718592,4718592,0.2636000066995621,0.26367999613285065,0.275504007935524,0.9567919126652132,0.9996966420112952,0.957082251211966
128,2,4096,9437184,9437184,0.5115039944648743,0.5086559951305389,0.5339840054512024,0.9579013401958864,1.0055990676638038,0.9525678483585628
128,2,8192,18874368,18874368,1.0051279962062836,0.9975520074367523,1.0535919964313507,0.9540011689636777,1.0075945802454933,0.9468105403378035
128,2,16384,37748736,37748736,1.992576003074646,1.9657439589500427,2.076464056968689,0.9596005268607893,1.0136498163977241,0.9466785386209476
128,2,32768,75497472,75497472,3.9605599641799927,3.9290080070495605,4.129048109054565,0.959194434062152,1.008030514845941,0.9515529737795164
128,2,65536,150994944,150994944,7.886559963226318,7.787071943283081,8.225032091140747,0.9588485340648093,1.0127760499283756,0.946752773362502
128,2,131072,301989888,301989888,15.750672101974487,15.559687852859497,16.41638469696045,0.9594482824766393,1.012274298232782,0.9478145243355821
